"","email","vorname","nachname","landVorwahl","vorwahl","telNr","land","gebDat","straße","hnr","stiege","tnr","ort","plz","comb","pk","isDirty","errCol","errRule"
"738","support@ilovered.com","Carolina","Mayer","43","699","4613","AUT","2022-04-26","Steinerkirchen","3","","","Steinerkirchen am Innbach","4633","Steinerkirchen 3 4633 Steinerkirchen am Innbach",520,"False","",""
"739","dfs@citiz.net","Hermann","Auer","43","931","110702","AUT","2003-12-04","Schießstattstraße","40","","","St. Paul im Lavanttal","9470","Schießstattstraße 40 9470 St. Paul im Lavanttal",521,"False","",""
"740","ponte@infomed.sld.cu","Maleo","Altenberger","43","828","2325","AUT","2003-10-07","Perlhofgasse","2b","","","Gießhübl","2372","Perlhofgasse 2b 2372 Gießhübl",522,"False","",""
"741","gio@link.it","John","Rieder","43","504","4518","AUT","2016-05-02","Billrothstraße","8","","","Marchtrenk","4614","Billrothstraße 8 4614 Marchtrenk",523,"False","",""
"742","sbarber@randomwalk.com","Jacques","Pachler","43","679","2056","AUT","2006-08-28","Praßlergasse","11A","","","Salzburg","5020","Praßlergasse 11A 5020 Salzburg",524,"False","",""
"743","cncydx@cncydx.com","Daris","Steiner","43","673","8682","AUT","1991-01-16","Graben","11","","","Amstetten","3300","Graben 11 3300 Amstetten",525,"False","",""
"744","kevin.dyer@matrixone.com","Seyit","Fleisch","43","650","38563","AUT","2006-03-30","Kirchberg an der Raab","197","","","Kirchberg an der Raab","8324","Kirchberg an der Raab 197 8324 Kirchberg an der Raab",526,"False","",""
"745","marianodd@avanade.com","Haysam","Müller","43","695","47855","AUT","2023-12-22","Obereck","62","","","Obereck","5242","Obereck 62 5242 Obereck",527,"False","",""
"746","rie_cha@idola.net.id","Talha","Neubauer","43","689","25676","AUT","2018-01-27","Flurweg","20","","","Bruckmühl","4901","Flurweg 20 4901 Bruckmühl",528,"False","",""
"747","jslatin@mail.utexas.edu","Dorian","Haas","43","696","20254","AUT","2008-11-29","Klammbergstraße","9","","","Steinbach am Ziehberg","4562","Klammbergstraße 9 4562 Steinbach am Ziehberg",529,"False","",""
"748","mgoldst@okstate.edu","Teodor","Klinger","43","653","626088","AUT","2017-05-12","Stiegeramt","41","","","St. Oswald","3684","Stiegeramt 41 3684 St. Oswald",530,"False","",""
"749","199606060206.aa06946@drizzle.wri.com","Bilel","Lueger","43","931","76074","AUT","2023-08-08","Heinrichsreith","15","","","Heinrichsreith","2095","Heinrichsreith 15 2095 Heinrichsreith",531,"False","",""
"750","michael.cartmell@thomson.com.au","Tiago","Widhalm","43","665","706","AUT","1992-07-17","Kleingartensiedlung","155","","","Maria-Lanzendorf","2326","Kleingartensiedlung 155 2326 Maria-Lanzendorf",532,"False","",""
"751","marius@multiactive.com","Arian","Zotter","43","666","38728","AUT","2015-03-08","Eckholz","15","","","Plainfeld","5325","Eckholz 15 5325 Plainfeld",533,"False","",""
"752","alert@romaniancancerleague.org","Phileas","Appel","43","690","6073","AUT","1969-08-14","Steinpoint","4","","","Steinpoint","4902","Steinpoint 4 4902 Steinpoint",534,"False","",""
"753","ed.simon@entrust.com","Joseph","Berger","43","931","304","AUT","2003-05-17","Zietenweg","1","","","Debant","9990","Zietenweg 1 9990 Debant",535,"False","",""
"754","hey!@tux.w3.org","Gero","Stadler","43","680","30152","AUT","1978-03-08","Rosenstraße","48","","","Niederstraß","4800","Rosenstraße 48 4800 Niederstraß",536,"False","",""
"755","brunner@nicnaa.net","Sohaib","Arnold","43","679","64081","AUT","2020-11-06","Vidosichgasse","18","","","Wiener Neustadt","2700","Vidosichgasse 18 2700 Wiener Neustadt",537,"False","",""
"756","tereza@emailerotica.com","Leo-Roland","Leitner","43","667","1688","AUT","1985-02-03","Fleischessen","1","","","Fleischessen","3233","Fleischessen 1 3233 Fleischessen",538,"False","",""
"757","total@informland.co.kr","Abdoulaye","Lampl","43","118","2582","AUT","1988-06-15","Freiung","39","","","Wels","4600","Freiung 39 4600 Wels",539,"False","",""
"758","andlex12@aol.com","Jared","Haid","43","665","33512","AUT","2009-07-27","Joseph-Löw-Straße","9","","","Steyr","4400","Joseph-Löw-Straße 9 4400 Steyr",540,"False","",""
"759","mmueller@alumni.virginia.edu","Arno","Reiter","43","720","352","AUT","2008-11-24","Am Weiher","16","","","Gaisruck","3464","Am Weiher 16 3464 Gaisruck",541,"False","",""
"760","www-xpath-comments@w3.org","Eldis","Eberharter","43","821","13448","AUT","1995-07-11","Peyrer-Straße","2","","","Türkstetten","4201","Peyrer-Straße 2 4201 Türkstetten",542,"False","",""
"761","estebanc@adinet.com.uy","Emre","Ertl","43","684","40878","AUT","1988-04-18","Oberndorferstraße","34","","","Kirchbichl","6322","Oberndorferstraße 34 6322 Kirchbichl",543,"False","",""
"762","notxy@sprint.ca","Abdullah","Steurer","43","685","1308","AUT","2020-05-24","Scheibenbergstraße","8","","","Wien","1180","Scheibenbergstraße 8 1180 Wien,Währing",544,"False","",""
"763","manpower@mail.telepac.pt","Maximillian","Bauer","43","672","307","AUT","2012-07-28","Hag","652","","","Schwarzenberg","6867","Hag 652 6867 Schwarzenberg",545,"False","",""
"764","nicolas.deloof@cgey.com","Kristian","Staudinger","43","688","4102","AUT","1978-08-25","Moos","29","","","Moos","9962","Moos 29 9962 Moos",546,"False","",""
"765","gorny@beta.seatech.tuniv.szczecin.pl","Siegfried","Richter","43","1484","41585","AUT","2003-06-22","Alois-Prager-Straße","23","","","Obersiebenbrunn","2283","Alois-Prager-Straße 23 2283 Obersiebenbrunn",547,"False","",""
"766","action.alert@verizon.net","Aloysius","Lazarevic","43","810","152621","AUT","1985-01-26","Nislisweg","10","","","Bludesch","6719","Nislisweg 10 6719 Bludesch",549,"False","",""
"767","mail4@erosex.com","Kenan","Gutmann","43","663","232465","AUT","2012-05-28","Leonhardistraße","328","","","Niederleis","2116","Leonhardistraße 328 2116 Niederleis",550,"False","",""
"768","fallside@us.ibm.com","Levin","Fischer","43","677","28284","AUT","2011-01-04","Dietmar v. Aiststraße","8a","","","Schwertberg","4311","Dietmar v. Aiststraße 8a 4311 Schwertberg",551,"False","",""
"769","michaellambert@bellsouth.net","Talis","Rath","43","930","5267","AUT","2010-04-10","Hofgartenweg","12","","","Föllim","2141","Hofgartenweg 12 2141 Föllim",552,"False","",""
"770","jdid@infomed.sld.cu","Klemens","Wagner","43","697","224081","AUT","2001-12-27","Hippach-Dorf","22a","","","Hippach-Schwendberg","6283","Hippach-Dorf 22a 6283 Hippach-Schwendberg",553,"False","",""
"771","natalie.khourdaji@polymtl.ca","Novak","Unger","43","507","567","AUT","2003-10-08","Gewerbepark","2","","","Wolfern","4493","Gewerbepark 2 4493 Wolfern",554,"False","",""
"772","claws@us.ibm.com","Bobby","Hosp","43","930","631301","AUT","1999-09-18","Bahnstraße","11","","","Jois","7093","Bahnstraße 11 7093 Jois",555,"False","",""
"773","john@appliedlanguage.com","Eray","Auer","43","130","1775","AUT","2017-12-31","Leitenweg","12","","","Afritz","9542","Leitenweg 12 9542 Afritz",556,"False","",""
"774","contact@klekoon.com","Walter","Meusburger","43","694","878586","AUT","1990-04-07","Weitmosergasse","66","","","Wien","1100","Weitmosergasse 66 1100 Wien,Favoriten",557,"False","",""
"775","groenvel@cse.psu.edu","Nandin-Od","Pfeiler","43","820","626543","AUT","1973-02-08","Mühlgasse","16","","","Frauenkirchen","7132","Mühlgasse 16 7132 Frauenkirchen",558,"False","",""
"776","5t4eat@aol.com","Thomas-Christopher","Steiner","43","517","772","AUT","1996-11-19","Schimitschekgasse","5","","","Herzogenburg","3130","Schimitschekgasse 5 3130 Herzogenburg",559,"False","",""
"777","warner.c@apple.com","Ronald","Müller","43","676","41112","AUT","2023-09-04","Kraichen","63d","","","Bach","6653","Kraichen 63d 6653 Bach",560,"False","",""
"778","mrc@cac.washington.edu","Fawad","Strasser","43","698","821224","AUT","2002-11-04","Lüftenegg","24","","","Laakirchen","4663","Lüftenegg 24 4663 Laakirchen",561,"False","",""
"779","hinet723.ok@tux.w3.org","Ecevit","Aigner","43","687","7328","AUT","2019-02-08","Unterer Weinleitenweg","348","","","Millstatt am See","9872","Unterer Weinleitenweg 348 9872 Millstatt am See",562,"False","",""
"780","sher07@bellsouth.net","Jonah","Fleischhacker","43","828","5021","AUT","2016-10-15","Kreithof","2","","","Tristach","9907","Kreithof 2 9907 Tristach",563,"False","",""
"781","looplink@img.outgoing.com","Ronald","Wolfsberger","43","687","150853","AUT","2024-01-15","Pilatgasse","28","","","Wien","1220","Pilatgasse 28 1220 Wien,Donaustadt",564,"False","",""
"782","kaiko@net21.com.sg","Rainer","Frey","43","689","62823","AUT","2007-01-16","Berg-Weg","10","","","Frankenmarkt","4890","Berg-Weg 10 4890 Frankenmarkt",565,"False","",""
"783","norberto.carnelli@poste.it","Ian","Mueller","43","670","154","AUT","1972-02-19","Niedergleinker Straße","70","","","Dietachdorf","4407","Niedergleinker Straße 70 4407 Dietachdorf",566,"False","",""
"784","honkkis@tml.hut.fi","Natan","Amtmann","43","939","78510","AUT","2005-06-17","Herzog Odilo-Straße","87","","","Mondsee","5310","Herzog Odilo-Straße 87 5310 Mondsee",567,"False","",""
"785","geuer-pollmann@nue.et-inf.uni-siegen.de","Alois","Ertl","43","680","437","AUT","2013-04-27","Hof","1","","","Dornbirn","6850","Hof 1 6850 Dornbirn",568,"False","",""
"786","northstar_jobs@gmx.net","Kurt","Seidl","43","674","5830","AUT","2005-05-02","Steinbügelweg","16","","","Wien","1210","Steinbügelweg 16 1210 Wien,Floridsdorf",569,"False","",""
"787","wlq@citiz.net","Siegfried","Wolf","43","699","66803","AUT","2021-07-04","Pairfeld","23","","","Fügenberg","6264","Pairfeld 23 6264 Fügenberg",570,"False","",""
"788","rongainey@hotmail.com","Slobodan","Stefan","43","804","850","AUT","2005-06-23","Haberlweg","6","","","Schäffern","8244","Haberlweg 6 8244 Schäffern",571,"False","",""
"789","quickblaster@sbcglobal.net","Marian","Schober","43","681","710","AUT","2023-09-02","Jägergasse","9","","","Farrach","8740","Jägergasse 9 8740 Farrach",572,"False","",""
"790","myardley@vml.com","Faruk","Schmid","43","503","8577","AUT","2022-11-22","Kirchfeldstraße","24","","","Windischgarsten","4580","Kirchfeldstraße 24 4580 Windischgarsten",573,"False","",""
"791","piew@uiiwdd.com","Koray","Anibas","43","810","2250","AUT","2006-09-30","Sportplatzsiedlung","29","","","Schrattenberg","2172","Sportplatzsiedlung 29 2172 Schrattenberg",574,"False","",""
"792","j.timperley@msim.org.uk","Sergej","Schuster","43","670","12024","AUT","2012-09-09","Mitterweg","22b","","","Mattighofen","5230","Mitterweg 22b 5230 Mattighofen",575,"False","",""
"793","account32@chinaren.com","Carlo","Adelsberger","43","503","647","AUT","2007-08-28","Kürschnergasse","45","","","Irdning","8952","Kürschnergasse 45 8952 Irdning",576,"False","",""
"794","customercare@51e-training.com.cn","Jaime","Seidl","43","676","4402","AUT","2004-05-23","Windgasse","3","","","Haslach an der Mühl","4170","Windgasse 3 4170 Haslach an der Mühl",577,"False","",""
"795","dbguru@vaman.net","Riley","Marx","43","810","126183","AUT","2017-11-11","Jakob-Gapp-Straße","11","","","Reutte","6600","Jakob-Gapp-Straße 11 6600 Reutte",578,"False","",""
"796","rod@cyberspaces.org","Lorijan","Scheiber","43","111","572","AUT","1999-11-25","Theresienbadgasse","4","","","Wien","1120","Theresienbadgasse 4 1120 Wien,Meidling",579,"False","",""
"797","savemoneyjones@netscape.net","Ender","Neuner","43","678","6681","AUT","2018-09-21","Obere Hauptstraße","29","","","Hollern","2471","Obere Hauptstraße 29 2471 Hollern",580,"False","",""
"798","mjg@supranet.net","Dani","Öztürk","43","699","2603","AUT","2013-02-20","Schulstraße","13","","","Bachmanning","4672","Schulstraße 13 Nahversorgermarkt 4672 Bachmanning",581,"False","",""
"799","ficareli@sti.com.br","Ayub","Schwarz","43","120","248","AUT","2010-01-03","Wienerstraße","382","","","Breitenwaida","2014","Wienerstraße 382 2014 Breitenwaida",582,"False","",""
"800","ooiiss@orgio.com","Ahmed","Brugger","43","517","58274","AUT","1972-02-20","Auschulweg","24","","","Großarl","5611","Auschulweg 24 5611 Großarl",583,"False","",""
"801","michael.f.uschold@boeing.com","Jonah","Auer","43","1","8541","AUT","2015-07-23","Dahliengasse","14","","","Pottschach","2630","Dahliengasse 14 2630 Pottschach",585,"False","",""
"802","bradford@dbxmlgroup.com","Valton","Schlager","43","508","862","AUT","2014-04-26","Eben","29A","","","Eben","4202","Eben 29A 4202 Eben",586,"False","",""
"803","basr-l@trace.wisc.edu","Flynn","Deutschmann","43","661","347","AUT","1988-05-15","Zellerstraße","5","","","Mauer bei Amstetten","3362","Zellerstraße 5 3362 Mauer bei Amstetten",587,"False","",""
"804","check@list.cn99.com","Emilijo","Schwarzl","43","673","612","AUT","1988-09-07","Hödlweg","21","","","Ebbs","6341","Hödlweg 21 6341 Ebbs",588,"False","",""
"805","webmaster@wizards.com","Mirnes","Kremser","43","651","526066","AUT","1961-04-03","Kapfenstein","112","","","Kapfenstein","8353","Kapfenstein 112 8353 Kapfenstein",589,"False","",""
"806","45.txt@tux.w3.org","Ares","Brugger","43","130","170","AUT","2014-04-16","Belvederegasse","25","","","Wien","1040","Belvederegasse 25 1040 Wien,Wieden",590,"False","",""
"807","8qwy209.txt@tux.w3.org","Ivan","Traxler","43","697","501524","AUT","2022-01-28","Schützenweg","33","","","Niederndorf","6342","Schützenweg 33 6342 Niederndorf",591,"False","",""
"808","guus@swi.psy.uva.nl","Kenji-Lee","Rumpf","43","939","6284","AUT","2000-01-19","Guppenbergerstraße","8","","","Adlwang","4541","Guppenbergerstraße 8 4541 Adlwang",592,"False","",""
"809","lkmao@unf.edu","Maurice","Gruber","43","693","35536","AUT","2017-11-20","Engelbert-Kessler-Straße","1","","","Riezlern","6991","Engelbert-Kessler-Straße 1 6991 Riezlern",593,"False","",""
"810","liddy.nevile@motile.net","Nikolai","Schranz","43","502","26676","AUT","1999-06-05","Siedlung","43","","","Neudau","8292","Siedlung 43 8292 Neudau",594,"False","",""
"811","mic@hosix.ntu-kpi.kiev.ua","Jens","Schütz","43","111","5705","AUT","2007-11-15","Fantaberg","1","","","Fantaberg","4861","Fantaberg 1 4861 Fantaberg",595,"False","",""
"812","the.slot.shop@w3.org","Niklaus","Albert","43","718","317","AUT","2004-06-17","Spitalfeld","32","","","Rohrbach","4150","Spitalfeld 32 4150 Rohrbach",596,"False","",""
"813","votre.site@tux.w3.org","Amrit","Liu","43","664","73","AUT","1999-04-27","Stattersdorfer Hauptstraße","25","","","Oberwagram","3100","Stattersdorfer Hauptstraße 25 3100 Oberwagram",597,"False","",""
"814","talec@pochtamt.ru","Albert","Wieser","43","677","1505","AUT","2013-08-24","Wiesengasse","11","","","Klagenfurt","9020","Wiesengasse 11 9020 Klagenfurt,09.Bez.:Annabichl",598,"False","",""
"815","pete.tedder@kcl.ac.uk","Kian","Todt","43","718","633","AUT","2010-12-27","Köppel","85","","","Köppel","8251","Köppel 85 8251 Köppel",599,"False","",""
"816","charles@igel.de","Leander","Strobl","43","667","60477","AUT","2012-02-09","Waidhofner Straße","72","","","Weyer","3335","Waidhofner Straße 72 3335 Weyer",600,"False","",""
"817","vip@tux.w3.org","Alfred","Geiger","43","509","74173","AUT","2024-12-11","Hofing","11","","","Hofing","4970","Hofing 11 4970 Hofing",601,"False","",""
"818","jonathan@signbrowser.demon.co.uk","Leonas","Mayrhofer","43","660","24023","AUT","2021-04-28","Kampern","35","","","Kampern","5143","Kampern 35 5143 Kampern",602,"False","",""
"819","mforyou11@mforyou.co.kr","Arijen","Böck","43","505","611276","AUT","1972-10-23","Hitzendorfweg","14","","","Semriach","8102","Hitzendorfweg 14 8102 Semriach",603,"False","",""
"820","fen@comedia.com","Dejan","Rinner","43","670","8100","AUT","1998-08-04","In der Hofmauer","30a","","","Hagenbrunn","2102","In der Hofmauer 30a 2102 Hagenbrunn",604,"False","",""
"821","elievans@hotmail.com","Yunus","Eckl","43","59","8648","AUT","2013-12-04","Hopfenleiten","347","","","Groß Gerungs","3920","Hopfenleiten 347 3920 Groß Gerungs",606,"False","",""
"822","phoschka@aol.com","Benedict","Mitterer","43","804","448637","AUT","2019-01-26","Obere Hafnerzeile","4","","","Freistadt","4240","Obere Hafnerzeile 4 4240 Freistadt",608,"False","",""
"823","shane@aptest.com","Abdulhalim","Egger","43","900","2651","AUT","2000-05-28","Oberhaag","22","","","Oberhaag","8455","Oberhaag 22 8455 Oberhaag",609,"False","",""
"824","paulal@atl.mindspring.com","Farid","Peter","43","507","43743","AUT","1945-05-29","Bundesstraße","69","","","Wimpassing im Schwarzatale","2632","Bundesstraße 69 2632 Wimpassing im Schwarzatale",610,"False","",""
"825","vip@w3.org","Dantes","Fink","43","666","33620","AUT","1995-07-16","Hackenbuch","22","","","Hackenbuch","5141","Hackenbuch 22 5141 Hackenbuch",611,"False","",""
"826","carcone@w3.org","Jason","Lang","43","501","366","AUT","2024-02-27","DDr.-Schachner-Platz","7","","","Mürzzuschlag","8680","DDr.-Schachner-Platz 7 8680 Mürzzuschlag",612,"False","",""
"827","tapa@jioben.com","Jodok","Dorner","43","507","310","AUT","1972-12-30","Zimburgweg","13","","","Bad Gastein","5640","Zimburgweg 13 5640 Bad Gastein",613,"False","",""
"828","chris.barlas@rightscom.com","Jaman","Krebs","43","810","61017","AUT","2003-11-27","Radegunder Straße","98","","","Graz","8045","Radegunder Straße 98 8045 Graz,12.Bez.:Andritz",614,"False","",""
"829","towen@mtt.ca","Tarin","Brandstätter","43","666","683","AUT","2011-09-14","Gebmanns","21","","","Gebmanns","2115","Gebmanns 21 2115 Gebmanns",615,"False","",""
"830","kasday@acm.org","Yuval","Neuhold","43","672","4041","AUT","2002-12-19","Hofkellerweg","7","","","Pottenbrunn","3140","Hofkellerweg 7 3140 Pottenbrunn",616,"False","",""
"831","win@staff.1111.com.tw","Charly","Klammer","43","57","1416","AUT","1987-08-09","Schladnitzstraße","59","","","Göß","8700","Schladnitzstraße 59 8700 Göß",617,"False","",""
"832","stephenriek@yahoo.co.uk","Ilkay","Winkler","43","1450","755","AUT","2011-12-29","Siebending","36","","","Siebending","9433","Siebending 36 9433 Siebending",618,"False","",""
"833","w3c-http-ng@w3.org","Valerio","Haas","43","506","771706","AUT","2022-12-20","Korneuburger Straße","116","","","Langenzersdorf","2103","Korneuburger Straße 116 2103 Langenzersdorf",619,"False","",""
"834","gatroope@hotmail.com","Yasir","Schneider","43","664","6366","AUT","1983-10-30","Gerasdorfer Straße","8","","","Wien","1210","Gerasdorfer Straße 8 1210 Wien,Floridsdorf",620,"False","",""
"835","maraya@shani.net","Tizian","Resch","43","666","2082","AUT","2011-08-25","Feldstraße","11b","","","Wilten","6020","Feldstraße 11b 6020 Wilten",621,"False","",""
"836","pss@dhi.dk","Joseph","Grabner","43","118","634","AUT","1949-12-10","Gewerbegebiet Vorderes Ötztal","14","","","Tumpen","6441","Gewerbegebiet Vorderes Ötztal 14 6441 Tumpen",622,"False","",""
"837","51wlan@51wlan.com","Buray","Baumann","43","657","6774","AUT","2018-09-28","Mauthen","283","","","Mauthen","9640","Mauthen 283 9640 Mauthen",623,"False","",""
"838","jmbelo@bes.pt","Rahman","Schneider","43","665","3651","AUT","1966-08-28","Weissenbach","24","","","Weissenbach bei Mödling","2371","Weissenbach 24 2371 Weissenbach bei Mödling",624,"False","",""
"839","cybercafe21@lists.exmachina.net","Mert","Ecker","43","1","840801","AUT","1995-10-13","Sonnenweg","5a","","","Heuberg","5023","Sonnenweg 5a 5023 Heuberg",625,"False","",""
"840","geertk@ai.rug.nl","Mohammad","Eibel","43","507","68785","AUT","2009-03-22","Reischenbachweg","2","","","Taxach","5400","Reischenbachweg 2 5400 Taxach",626,"False","",""
"841","food@tux.w3.org","Syed","Seidl","43","10","668410","AUT","2003-07-30","Lind","22","","","Lind","9131","Lind 22 9131 Lind",627,"False","",""
"842","mnmcb@stylustech.com","Rashid","Gaigg","43","828","655","AUT","1976-10-08","Dorf","5","","","Umhausen","6441","Dorf 5 6441 Umhausen",628,"False","",""
"843","makoto916@planetjurai.com","Semir","Deutschmann","43","673","378","AUT","2008-08-06","Frankenberg","47","","","Frankenberg","9863","Frankenberg 47 9863 Frankenberg",629,"False","",""
"844","rogercutler@chevrontexaco.com","Utku","Schindler","43","59","3836","AUT","1985-04-27","Lerchengasse","3","","","Pirka","8054","Lerchengasse 3 8054 Pirka",631,"False","",""
"845","pradyumna_s@infy.com","Bruno","Schubert","43","678","586462","AUT","2013-11-10","Marienweg","8","","","Mühl","8046","Marienweg 8 8046 Mühl",632,"False","",""
"846","matej@ceplovi.cz","Zoltán","Ruzicka","43","692","335","AUT","1995-03-25","Auf der Fichte","12","","","Rosegg","9232","Auf der Fichte 12 9232 Rosegg",633,"False","",""
"847","pyendluri@webmethods.com","Julien","Wagner","43","684","6543","AUT","2002-12-18","Wisperndorf","98","","","Wisperndorf","9462","Wisperndorf 98 9462 Wisperndorf",634,"False","",""
"848","thomasgetty888@yahoo.com","Marius","Ceh","43","673","82260","AUT","1974-05-19","Prüschenkweg","4","","","Grein","4360","Prüschenkweg 4 4360 Grein",635,"False","",""
"849","atd@terminal.cz","Marius","Gruber","43","657","6306","AUT","2000-05-04","Brandhofgasse","16a","","","Graz","8010","Brandhofgasse 16a 8010 Graz,02.Bez.:Sankt Leonhard",636,"False","",""
"850","griffinb@hotkey.net.au","Mihajlo","Eder","43","657","1688","AUT","1959-08-14","Nagl","12","","","Nagl","8261","Nagl 12 8261 Nagl",637,"False","",""
"851","jacv@copextelgtm.co.cu","Yannick","Brenner","43","118","260178","AUT","2019-11-23","Franz-Dworschak-Straße","6","","","Steyr","4400","Franz-Dworschak-Straße 6 4400 Steyr",638,"False","",""
"852","marcus@fluxmobb.com","Sasha","Pirker","43","668","53547","AUT","2014-06-13","Geistbühelweg","12a","","","Zirl","6170","Geistbühelweg 12a 6170 Zirl",639,"False","",""
"853","www@www.com","Marian","Gruber","43","687","67","AUT","2019-07-21","Unterbergen","19","","","Unterbergen","9142","Unterbergen 19 9142 Unterbergen",640,"False","",""
"854","lambe65@ibm.net","Lenox","Raith","43","693","7542","AUT","1955-08-24","Jellerstraße","24","","","Bludenz","6700","Jellerstraße 24 6700 Bludenz",641,"False","",""
"855","sigit_her@purwokerto.wasantara.net.id","Talib","Lagler","43","684","773365","AUT","2009-01-21","Goschenreith","16","","","Goschenreith","3822","Goschenreith 16 3822 Goschenreith",642,"False","",""
"856","abel@abel.demon.nl","Heimo","Auer","43","57","131422","AUT","1988-02-11","Obersielach","42","","","Obersielach","9100","Obersielach 42 9100 Obersielach",644,"False","",""
"857","webmaster@tros.nl","Vukan","Haslinger","43","691","83323","AUT","1994-06-10","Erlenweg","6","","","Prinzersdorf","3385","Erlenweg 6 3385 Prinzersdorf",645,"False","",""
"858","book@peopledaily.com.cn","Raimund","Lechner","43","517","255","AUT","2006-08-30","Koliweg","122","","","Düns","6822","Koliweg 122 6822 Düns",647,"False","",""
"859","lukeliu@chinaecnet.com","Mohammad","Böhm","43","931","306402","AUT","1981-08-26","Bahnhofstraße","60","","","Wolfpassing","3424","Bahnhofstraße 60 3424 Wolfpassing",648,"False","",""
"860","pascal.esclaffer@elior.com","Bilal","Neumann","43","111","715272","AUT","1989-02-01","Alleestraße","33","","","Lienz","9900","Alleestraße 33 9900 Lienz",649,"False","",""
"861","voron@newmail.ru","Alwyn","Mayer","43","501","38028","AUT","1989-03-15","Unionstraße","5a","","","Linz","4020","Unionstraße 5a 4020 Linz",650,"False","",""
"862","richardd@pcanz.org.nz","Marc-Alexander","Schmidt","43","508","631672","AUT","1991-07-20","Föhrenweg","20","","","Haselbäckau","4565","Föhrenweg 20 4565 Haselbäckau",651,"False","",""
"863","gkhan@awalchat.com","Jacob","Gollner","43","651","2645","AUT","2007-08-06","Karlstal","2","","","Eggenburg","3730","Karlstal 2 3730 Eggenburg",652,"False","",""
"864","1004@iphonecard.co.kr","Wissam","Koch","43","669","681","AUT","1970-11-07","Mitterfeldweg","5","","","Kogl","3443","Mitterfeldweg 5 3443 Kogl",653,"False","",""
"865","agner@agner.org","Hao","Hackl","43","693","1585","AUT","2005-02-08","Leopoldauer Straße","110","","","Wien","1210","Leopoldauer Straße 110 1210 Wien,Floridsdorf",654,"False","",""
"866","small@nts.ru","Carlos","Graf","43","664","147573","AUT","1999-08-05","Perlsdorf","6","","","Perlsdorf","8342","Perlsdorf 6 8342 Perlsdorf",655,"False","",""
"867","email@ewasher.org","Georgi","Angerer","43","59","1323","AUT","2006-04-25","Obere Pappelgasse","11","","","Ternitz","2620","Obere Pappelgasse 11 2620 Ternitz",656,"False","",""
"868","rdesai@eccubed.com","Nick","Trenker","43","688","73107","AUT","1999-02-18","Karl-Schwed-Gasse","45","","","Wien","1230","Karl-Schwed-Gasse 45 1230 Wien,Liesing",657,"False","",""
"869","ddana@drew.edu","Teodor","Scheiber","43","680","85402","AUT","2017-04-04","Kapellenweg","16","","","Piber","8580","Kapellenweg 16 8580 Piber",658,"False","",""
"870","samgajby@yahoo.co.kr","Armin-Dieter","Steiner","43","900","873176","AUT","2019-09-30","Kaiserbergstraße","8","","","Lannach","8502","Kaiserbergstraße 8 8502 Lannach",659,"False","",""
"871","asirv@webmethods.com","Sven","Metzler","43","689","282563","AUT","2018-04-27","Dr.Schneider-Straße","27","","","Höchst","6973","Dr.Schneider-Straße 27 6973 Höchst",660,"False","",""
"872","vlib@w3.org","Rayen","Frühwirth","43","674","746045","AUT","2001-02-25","Enzianweg","3","","","Kirchbichl","6322","Enzianweg 3 6322 Kirchbichl",661,"False","",""
"873","shenwx@yeah.net","Luzian","Maier","43","931","806","AUT","1970-09-17","Jagenbach","135","","","Jagenbach","3923","Jagenbach 135 Lagerhalle mit Bürogebäude 3923 Jagenbach",662,"False","",""
"874","slesarenkoa@mail.iae.lt","Boris","Seebacher","43","682","207704","AUT","2017-01-25","Weizenweg","7","","","Unterpremstätten","8141","Weizenweg 7 8141 Unterpremstätten",663,"False","",""
"875","perzoom@netian.com","Tarik","Hofmann","43","650","8747","AUT","1962-01-26","Schmittenrain","4","","","Steindorf","5722","Schmittenrain 4 5722 Steindorf",664,"False","",""
"876","bob22@riglee.com","Valentino","Mikula","43","675","85522","AUT","1981-10-06","Milchhausstraße","10","","","Waidendorf","2263","Milchhausstraße 10 2263 Waidendorf",665,"False","",""
"877","julie6665l56@yahoo.com","Sina","Zeiner","43","820","18388","AUT","1992-04-29","Quellenweg","26","","","Mallenitzen","9581","Quellenweg 26 9581 Mallenitzen",666,"False","",""
"878","kjouk@yahoo.co.uk","Anas","Stöger","43","57","68470","AUT","2023-04-23","Leogang","41","","","Leogang","5771","Leogang 41 5771 Leogang",667,"False","",""
"879","schutzerd@citigroup.com","Dimitri","Hauer","43","674","644","AUT","2023-12-27","Oberwegbach","7","","","Oberwegbach","4730","Oberwegbach 7 4730 Oberwegbach",668,"False","",""
"880","dave.lewis@cs.tcd.ie","Mohamed","Scheucher","43","1455","75087","AUT","2010-10-12","Trautmannsdorf","19","","","Trautmannsdorf","2093","Trautmannsdorf 19 2093 Trautmannsdorf",669,"False","",""
"881","richardp@cityisp.net","Vitus","Helm","43","689","417481","aUT","1999-03-05","Hehenberg","13","","","Hehenberg","4851","Hehenberg 13 4851 Hehenberg",670,"True",";land",";Start_With_Lowercase"
"882","style@w3.org","Ayman","Kral","43","1450","753","AUT","1987-03-10","Hauptstraße","34","","","Sankt Margarethen bei Knittelfeld","8720","Hauptstraße 34 8720 Sankt Margarethen bei Knittelfeld",671,"False","",""
